,name,address,brand,open_time,cash_r,cash_h,cash_k,mem_r,mem_h,mem_k
123,セルフ南伏見 / コスモ石油販売(株),京都府京都市伏見区向島丸町15,コスモ石油,24時間営業,157,168,-,157,168,-
124,セルフ山科SS / 上原成商事(株),京都府京都市山科区大塚野溝町86,コスモ石油,24時間営業,157,168,-,157,168,-
125,セルフ百万遍SS / (株)ペトロスター関西,京都府京都市左京区吉田泉殿町4-1,昭和シェル,営業時間 07:00 - 24:00,157,168,-,157,168,-
126,西京極SS / 河合石油(株),京都府京都市右京区西京極殿田町24,出光,営業時間 07:00 - 21:30,157,168,-,157,168,-
127,セルフ五条大橋SS / 出光リテール販売(株),京都府京都市下京区南橋詰町492,出光,24時間営業,157,168,-,157,168,-
128,西野山SS / (有)奥田石油店,京都府京都市山科区西野山射庭ノ上町282-1,出光,営業時間,157,168,-,157,168,-
129,【クロッシング】御室SS / 京善石油,京都府京都市右京区宇多野馬場町11-8,その他,営業時間 07:00 - 23:00,157,168,-,157,168,-
130,苔寺SS / (株)ペガサス,京都府京都市西京区松尾大利町87-2,ENEOS,営業時間 07:00 - 19:00,-,-,-,-,-,-
131,市役所前SS / 上原成商事(株),京都府京都市中京区御幸町通御池下ル大文字町354,コスモ石油,営業時間 07:30 - 20:00,-,-,-,-,-,-
132,下中SS / 滋賀石油(株),京都府京都市右京区京北下中町25-4,ENEOS,営業時間 07:00 - 19:00,-,-,-,-,-,-
133,周山SS / 滋賀石油(株),京都府京都市右京区京北周山町森ノ下1-1,ENEOS,営業時間 07:00 - 19:00,-,-,-,-,-,-
134,河原町SS / 滋賀石油(株),京都府京都市下京区住吉町356,ENEOS,営業時間 07:30 - 20:00,-,-,-,-,-,-
135,セルフ嵯峨野SS / セブンフォーラム(株),京都府京都市右京区嵯峨広沢御所ノ内町36,昭和シェル,営業時間 07:00 - 21:00,-,-,-,-,-,-
136,七条七本松SS / (株)ユニス,京都府京都市下京区西七条北東野町100,ENEOS,営業時間,-,-,-,-,-,-
137,下鴨SS / モリカワ商事(株),京都府京都市左京区下鴨宮河町36-3,昭和シェル,営業時間 08:00 - 21:00,-,-,-,-,-,-
138,大原野SS / (株)小田石油,京都府京都市西京区大原野灰方町68-2,ENEOS,営業時間 07:00 - 20:00,-,-,-,-,-,-
139,桂SS / 三星石油(株),京都府京都市西京区山田中吉見町14-1,コスモ石油,24時間営業,-,-,-,-,-,-
140,西大路御池SS / モリカワ商事(株),京都府京都市中京区西ノ京樋ノ口町35,昭和シェル,営業時間 08:00 - 21:00,-,-,-,-,-,-
141,淀SS / (有)伏見屋商店,京都府京都市伏見区淀際目町329,ENEOS,営業時間 07:30 - 20:30,-,-,-,-,-,-
142,五条七本松SS / トーア油業(株),京都府京都市下京区中堂寺北町42-3,ENEOS,営業時間 07:30 - 20:00,-,-,-,-,-,-
143,周山SS / 北桑石油(株),京都府京都市右京区京北周山町泓18-1,コスモ石油,営業時間 07:30 - 19:30,-,-,-,-,-,-
144,京北SS / 京北石油(株),京都府京都市右京区京北下中町下河原1,コスモ石油,営業時間,-,-,-,-,-,-
145,大手橋プラザSS / 大手橋油脂興業(有),京都府京都市伏見区片原町300-25,コスモ石油,営業時間,-,-,-,-,-,-
